link,year,disambiguation,length,pageviews,revisions,title,score
Eugen_Roth,1895,False,59055,51,22,Eugen Roth,0.3710885650668358
Howard_Pease,1894,False,50580,52,22,Howard Pease,0.371031410255657
Emory_Parnell,1892,False,43499,56,21,Emory Parnell,0.370837528901369
George_Meany,1894,False,42538,64,19,George Meany,0.3705785756762638
Fatima_Jinnah,1893,False,71018,88,15,Fatima Jinnah,0.3704540645394341
Percy_Lavon_Julian,1899,False,45459,72,17,Percy Lavon Julian,0.36897126026272176
István_Dobi,1898,False,46692,60,19,István Dobi,0.3687202895513091
George_Jessel_(actor),1898,False,47183,64,18,George Jessel (comédien),0.3682366739941878
Seán_Heuston,1891,False,31273,45,25,Seán Heuston,0.3681319522473347
Wright_Patman,1893,False,60963,67,17,Wright Patman,0.3680668218417676
"Mary,_Lady_Heath",1896,False,48112,46,23,Sophia Heath,0.36777408268514983
Ulysses_S._Grant_IV,1893,False,53131,36,29,Ulysses Simpson Grant IV,0.3672126658939352
Mance_Lipscomb,1895,False,33752,90,15,Mance Lipscomb,0.367035981309644
Carlos_P._Garcia,1896,False,51407,83,15,Carlos P. García,0.36688525787609777
Tom_C._Clark,1899,False,70053,66,16,Tom Clark,0.3647610436125958
Priscilla_Dean,1896,False,61759,51,19,Priscilla Dean,0.3639810291975432
Gertrude_Berg,1899,False,59934,41,23,Gertrude Berg,0.36396061532811885
Louise_Lovely,1895,False,52107,37,26,Louise Lovely,0.36392147057586316
Helen_B._Taussig,1898,False,57185,60,17,Helen Taussig,0.3637780372433811
John_Marshall_Harlan_II,1899,False,60216,65,16,John Marshall Harlan II,0.36345365238259403
Franklin_Carmichael,1890,False,55661,156,11,Franklin Carmichael,0.36317833745203304
Paul_Berth,1890,False,56669,33,28,Paul Berth,0.36190079668741587
W._E._Lawrence,1896,False,43500,35,27,W. E. Lawrence,0.3618870641864904
Hans_Kopfermann,1895,False,55725,62,16,Hans Kopfermann,0.36139333391397255
Yrjö_Kilpinen,1892,False,43787,42,22,Yrjö Kilpinen,0.36131170815758007
Engelbert_Zaschka,1895,False,37466,39,24,Engelbert Zaschka,0.361104137609794
Victor_Crutchley,1893,False,47140,46,20,Victor Crutchley,0.36099520378335753
Ray_Arcel,1899,False,39418,149,11,Ray Arcel,0.36023303186811517
Heinz_Ziegler,1894,False,54183,60,16,Heinz Ziegler,0.36008512733446174
Patsy_Gallacher,1891,False,46034,42,21,Patsy Gallacher,0.35941328603150136
Paul_Boffa,1890,False,37047,45,20,Paul Boffa,0.3587889672150729
Tomitarō_Horii,1890,False,59768,35,24,Tomitarō Horii,0.3586247911896351
Arthur_Gilligan,1894,False,56755,33,25,Arthur Gilligan,0.3572967982679952
Sherman_Minton,1890,False,44111,52,17,Sherman Minton,0.3571214202752304
Lillian_Randolph,1898,False,68528,109,11,Lillian Randolph,0.35523276562192185
Jan_Garber,1894,False,43638,31,26,Jan Garber,0.35450914163874303
Harry_Donenfeld,1893,False,39483,77,13,Harry Donenfeld,0.35409644583889677
Patricia_Collinge,1892,False,46520,73,13,Patricia Collinge,0.3533024431776056
León_de_Greiff,1895,False,48018,86,12,León de Greiff,0.35310247855576155
"William_""Billy""_Costello",1898,False,54753,37,20,William Costello,0.3525346613009669
Lucille_Hegamin,1894,False,40623,43,18,Lucille Hegamin,0.35224445732714504
Zara_Cully,1892,False,48980,37,20,Zara Cully,0.35197843541389523
Carmen_de_Icaza,1899,False,40255,50,16,Carmen de Icaza,0.351898530345108
Isham_Jones,1894,False,62301,34,21,Isham Jones,0.35161228195261485
Walter_Beech,1891,False,45397,48,16,Walter Herschel Beech,0.35098435748973505
Pops_Foster,1892,False,32265,54,15,Pop Foster,0.3499490153786273
Malcolm_McGregor,1892,False,59394,43,16,Malcolm McGregor,0.3480545487700913
Vernon_Sturdee,1890,False,48308,38,18,Vernon Sturdee,0.34802349197487864
Jüri_Uluots,1890,False,59619,39,17,Jüri Uluots,0.3472771088392885
Feng_Zhanhai,1899,False,47157,40,17,Feng Zhanhai,0.3471846682087545
Glenn_Tryon,1898,False,46148,42,16,Glenn Tryon,0.3459065979097627
Alphonse_Castex,1899,False,37339,35,19,Alphonse Castex,0.345786179279862
Luke_Jordan,1892,False,36894,46,15,Luke Jordan,0.344817250082158
John_Twist,1898,False,50561,44,15,John Twist,0.34469679046325946
Lester_Melrose,1891,False,37911,35,18,Lester Melrose,0.3433174542225602
Taixu,1890,False,64894,58,12,Taixu,0.3424210967647595
John_G._Bennett,1897,False,44474,73,11,John G. Bennett,0.3420003874920757
Christl_Mardayn,1896,False,69229,68,11,Christl Mardayn,0.34194624550355435
Clifton_Sprague,1896,False,50082,56,12,Clifton Sprague,0.3400769757358492
Larry_Shields,1893,False,32098,33,18,Larry Shields,0.33993189574902627
Ludwig_Marcuse,1894,False,62242,79,10,Ludwig Marcuse,0.33905748374851535
Heinrich_Nordhoff,1899,False,47190,112,9,Heinrich Nordhoff,0.33866968870440095
Liane_Haid,1895,False,50067,64,11,Liane Haid,0.3386291684882452
Yasuyo_Yamasaki,1891,False,42592,51,12,Yasuyo Yamasaki,0.33620438487653026
Tom_Maguire,1892,False,34311,45,13,Tom Maguire,0.33560342933890897
Lynde_D._McCormick,1895,False,50621,42,13,Lynde D. McCormick,0.3349251778603053
Nie_Rongzhen,1899,False,46837,57,11,Nie Rongzhen,0.3347254233824782
Leslie_Comrie,1893,False,48295,42,13,Leslie Comrie,0.3347112130340153
Arnold_Chikobava,1898,False,73716,35,14,Arnold Tchikobava,0.333634313321222
Junius_Matthews,1890,False,37476,47,12,Junius Matthews,0.33281945368659127
Ruth_McDevitt,1895,False,83353,80,9,Ruth McDevitt,0.33271729270006933
Paul_Rostock,1892,False,45218,74,9,Paul Rostock,0.32803449561114717
Herbert_Sutcliffe,1894,False,45725,35,13,Herbert Sutcliffe,0.32753883837401027
Sidney_Holland,1893,False,59699,37,12,Sidney Holland,0.32628361705072745
Buddy_Roosevelt,1898,False,72774,36,12,Buddy Roosevelt,0.326057472981306
Joe_Dougherty,1898,False,44854,37,12,Joe Dougherty,0.3250632922330383
Laurence_Wild,1890,False,58736,29,14,Laurence Wild,0.3248461485947203
Stuart_Buchanan,1894,False,31386,53,10,Stuart Buchanan,0.32428496959061953
Johnny_Lee_(actor),1898,False,34950,51,10,Johnny Lee,0.32358811027127254
Kaju_Sugiura,1896,False,40695,63,9,Kaju Sugiura,0.32316328025825647
Paul_Alfred_Weiss,1898,False,49071,61,9,Paul Alfred Weiss,0.3230605742156741
Clark_McConachy,1895,False,37787,31,13,Clark McConachy,0.32187025817171194
Dewey_Robinson,1898,False,42577,38,11,Dewey Robinson,0.320674238893017
Joseph-Alphida_Crête,1890,False,45968,32,12,Joseph-Alphida Crête,0.31961770968635
Jimmy_Dykes,1896,False,40881,37,11,Jimmy Dykes,0.3195417119742149
Marie-Thérèse_Bardet,1898,False,44461,126,7,Marie-Thérèse Bardet,0.31950695868943546
Deiva_Zivarattinam,1894,False,39933,31,12,Deiva Zivarattinam,0.3177742264307554
Edwin_Harris_Dunning,1892,False,43116,30,12,Edwin Harris Dunning,0.3167963835843892
Roy_Kilner,1890,False,40010,27,13,Roy Kilner,0.316392794362655
John_Warburton_(actor),1899,False,45472,40,9,John Warburton (acteur),0.30991767787693947
