country,office,name,party,start,end,spectrum
Italy,premier,Giulio Andreotti,DC,29 July 1976,4 August 1979,right
Italy,premier,Francesco Cossiga,DC,4 August 1979,18 October 1980,right
Italy,premier,Arnaldo Forlani,DC,18 October 1980,28 June 1981,right
Italy,premier,Giovanni Spadolini,PRI,28 June 1981,1 December 1982,centre
Italy,premier,Amintore Fanfani,DC,1 December 1982,4 August 1983,right
Italy,premier,Bettino Craxi,PSI,4 August 1983,17 April 1987,left
Italy,premier,Amintore Fanfani,DC,17 April 1987,28 July 1987,right
Italy,premier,Giovanni Goria,DC,28 July 1987,13 April 1988,right
Italy,premier,Ciriaco De Mita,DC,13 April 1988,22 July 1989,right
Italy,premier,Giulio Andreotti,DC,22 July 1989,28 June 1992,right
Italy,premier,Giuliano Amato,PSI,28 June 1992,28 April 1993,left
Italy,premier,Carlo Azeglio Ciampi,Independent,28 April 1993,10 May 1994,centre
Italy,premier,Silvio Berlusconi,FI,10 May 1994,17 January 1995,right
Italy,premier,Lamberto Dini,Independent,17 January 1995,17 May 1996,centre
Italy,premier,Romano Prodi,L'Ulivo,17 May 1996,21 October 1998,left
Italy,premier,Massimo D'Alema,L'Ulivo,21 October 1998,25 April 2000,left
Italy,premier,Giuliano Amato,L'Ulivo,25 April 2000,11 June 2001,left
Italy,premier,Silvio Berlusconi,FI,11 June 2001,17 May 2006,right
Italy,premier,Romano Prodi,L'Ulivo,17 May 2006,8 May 2008,left
Italy,premier,Silvio Berlusconi,FI,8 May 2008,16 November 2011,right
Italy,premier,Mario Monti,Independent,16 November 2011,28 April 2013,centre
Italy,premier,Enrico Letta,PD,28 April 2013,22 February 2014,left
Italy,premier,Matteo Renzi,PD,22 February 2014,12 December 2016,left
Italy,premier,Paolo Gentiloni,PD,12 December 2016,,left
