colours,name,description,flag
GBR,"Dagestan","Russia",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Flag_of_Dagestan.svg/1024px-Flag_of_Dagestan.svg.png
GBG,"San Luis*","Colombia",https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Flag_of_San_Luis_%28Antioquia%29.svg/1024px-Flag_of_San_Luis_%28Antioquia%29.svg.png
GBW,"Araucanía and Patagonia (1860-62)",,https://www.fahnenversand.de/fotw/images/x/xu_rap.gif
GBK,"Puerto Wilches","Colombia",https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Flag_of_Puerto_Wilches_%28Santander%29.svg/1024px-Flag_of_Puerto_Wilches_%28Santander%29.svg.png
GBY,"San Roque","Colombia",https://upload.wikimedia.org/wikipedia/commons/thumb/1/11/Flag_of_San_Roque_%28Antioquia%29.svg/1024px-Flag_of_San_Roque_%28Antioquia%29.svg.png
WBR,"Russia",,https://upload.wikimedia.org/wikipedia/en/thumb/f/f3/Flag_of_Russia.svg/1024px-Flag_of_Russia.svg.png
WBG,"Kępno","Poland",https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/POL_K%C4%99pno_flag.svg/1024px-POL_K%C4%99pno_flag.svg.png
WBW,"Tucumán","Argentina",https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Bandera_de_la_Provincia_de_Tucum%C3%A1n.svg/1024px-Bandera_de_la_Provincia_de_Tucum%C3%A1n.svg.png
WBK,"Rychtal","Poland",https://fotw.info/images/p/pl-wp-ry.gif
WBY,"Slovenian Naval Jack",,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Naval_jack_of_Slovenia.svg/1024px-Naval_jack_of_Slovenia.svg.png
KBR,"Donetsk People's Republic","(Ukraine)",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Flag_of_Donetsk_People%27s_Republic.svg/1024px-Flag_of_Donetsk_People%27s_Republic.svg.png
KBG,
KBW,
KBK,"Thin Blue Line",,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Thin_Blue_Line_flag.svg/1024px-Thin_Blue_Line_flag.svg.png
KBY,
YBR,"Colombia",,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Flag_of_Colombia.svg/1024px-Flag_of_Colombia.svg.png
YBG,"Guainía","Colombia",https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Flag_of_Guain%C3%ADa.svg/1024px-Flag_of_Guain%C3%ADa.svg.png
YBW,"Ovalle","Chile",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Flag_of_Ovalle%2C_Chile.svg/1024px-Flag_of_Ovalle%2C_Chile.svg.png
YBK,"Simití","Colombia",https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Flag_of_Simit%C3%AD_%28Bol%C3%ADvar%29.svg/1024px-Flag_of_Simit%C3%AD_%28Bol%C3%ADvar%29.svg.png
YBY,"Ottignies-Louvain-la-Neuve","Belgium",https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Drapeau_Ottignies-LLN.svg/1024px-Drapeau_Ottignies-LLN.svg.png

RKR,"Albania (civil ensign)",,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Civil_Ensign_of_Albania.svg/1024px-Civil_Ensign_of_Albania.svg.png
RKG,"Pan-Africanism",,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Flag_of_the_UNIA.svg/1024px-Flag_of_the_UNIA.svg.png
RKB,"Lord's Resistance Army",,https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Flag_of_Lord%27s_Resistance_Army.svg/1024px-Flag_of_Lord%27s_Resistance_Army.svg.png
RKW,
RKY,"United Belgian States (1790)",,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Flag_of_the_Brabantine_Revolution.svg/1024px-Flag_of_the_Brabantine_Revolution.svg.png
GKR,"Tausa","Colombia",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Flag_of_Tausa_%28Cundinamarca%29.svg/1024px-Flag_of_Tausa_%28Cundinamarca%29.svg.png
GKG,"Tanganyika African National Union","Tanzaniya",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Flag_of_TANU.svg/1024px-Flag_of_TANU.svg.png
GKB,
GKW,"Zipacón","Colombia",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Flag_of_Zipac%C3%B3n_%28Cundinamarca%29.svg/1024px-Flag_of_Zipac%C3%B3n_%28Cundinamarca%29.svg.png
GKY,
BKR,"Republic of Pontecorvo (1820)","Italy",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Flag_of_the_Republic_of_Pontecorvo.svg/1024px-Flag_of_the_Republic_of_Pontecorvo.svg.png
BKG,"Zanzibar (1964)",,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Flag_of_Zanzibar_%28January-April_1964%29.svg/1024px-Flag_of_Zanzibar_%28January-April_1964%29.svg.png
BKB,
BKW,"Estonia",,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Flag_of_Estonia.svg/1024px-Flag_of_Estonia.svg.png
BKY,"Placilla","Chile",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Flag_of_Placilla%2C_Chile.svg/1024px-Flag_of_Placilla%2C_Chile.svg.png
WKR,"Biała Podlaska County","Poland",https://web.archive.org/web/20170718172117if_/http://www.crwflags.com/FOTW/images/p/pl-lu-bi.gif
WKG,"Kadrina Parish","Estonia",https://upload.wikimedia.org/wikipedia/commons/thumb/8/81/Flag_of_Kadrina_vald.svg/1024px-Flag_of_Kadrina_vald.svg.png
WKB,"Blue Mud Bay*","Australia",https://fotw.co.uk/fotw/images/a/au-ntbmb.gif
WKW,"Delft","Netherlands",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Flag_of_Delft.svg/1024px-Flag_of_Delft.svg.png
WKY,"Otepää Parish*","Estonia",https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Flag_of_Otep%C3%A4%C3%A4_Parish.svg/1024px-Flag_of_Otep%C3%A4%C3%A4_Parish.svg.png
YKR,"Transcaucasian Federation (1918)",,https://upload.wikimedia.org/wikipedia/commons/thumb/d/da/Flag_of_the_Transcaucasian_Federation.svg/1024px-Flag_of_the_Transcaucasian_Federation.svg.png
YKG,"Santa Rosa de Aguán","Honduras",https://web.archive.org/web/20170714160815if_/http://www.crwflags.com/FOTW/images/h/hn-cl-07.gif
YKB,"Chojnice County","Poland",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/POL_powiat_chojnicki_flag.svg/1024px-POL_powiat_chojnicki_flag.svg.png
YKW,"Devín","Slovakia",https://fotw.info/images/s/sk-ba-dv.gif
YKY,"Arc-sous-Cicon","France",https://fotw.co.uk/fotw/images/f/fr-25-ac.gif

RYR,"Spain (civil variant)",,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Flag_of_Spain_%28Civil%29.svg/1024px-Flag_of_Spain_%28Civil%29.svg.png
RYG,"Bolivia (civil variant)",,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Flag_of_Bolivia.svg/1024px-Flag_of_Bolivia.svg.png
RYB,"Free State of Fiume (1920-24)",,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_the_Free_State_of_Fiume.svg/1024px-Flag_of_the_Free_State_of_Fiume.svg.png
RYW,"Kalahandi State (?-1948)","India",https://upload.wikimedia.org/wikipedia/commons/8/8b/Kalahandi_state_flag.png
RYK,"Belgium (1830)",,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Flag_of_Belgium_%281830%29.svg/1024px-Flag_of_Belgium_%281830%29.svg.png
GYR,"Ethiopia (1914-36, 75-87)",,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Flag_of_Ethiopia_%281975%E2%80%931987%29.svg/1024px-Flag_of_Ethiopia_%281975%E2%80%931987%29.svg.png
GYG,"Cauca","Colombia",https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Flag_of_Cauca.svg/1024px-Flag_of_Cauca.svg.png
GYB,"Gabon",,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Flag_of_Gabon.svg/1024px-Flag_of_Gabon.svg.png
GYW,"Sesquilé","Colombia",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/Flag_of_Sesquil%C3%A9_%28Cundinamarca%29.svg/1024px-Flag_of_Sesquil%C3%A9_%28Cundinamarca%29.svg.png
GYK,"Sokołów Podlaski","Poland",https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/POL_Soko%C5%82%C3%B3w_Podlaski_flag.svg/1024px-POL_Soko%C5%82%C3%B3w_Podlaski_flag.svg.png
BYR,"Mecklenburg","Germany",https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/Flagge_des_Landesteils_Mecklenburg.svg/1024px-Flagge_des_Landesteils_Mecklenburg.svg.png
BYG,"Sudan (1956-70)",,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Flag_of_Sudan_%281956%E2%80%931970%29.svg/1024px-Flag_of_Sudan_%281956%E2%80%931970%29.svg.png
BYB,"Silesian Voivodeship","Poland",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5b/POL_wojew%C3%B3dztwo_%C5%9Bl%C4%85skie_flag.svg/1024px-POL_wojew%C3%B3dztwo_%C5%9Bl%C4%85skie_flag.svg.png
BYW,"Velešín","Czech Republic",https://fotw.info/images/c/cz-ck-ve.gif
BYK,"Gelderland","Netherlands",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Flag_of_Gelderland.svg/1024px-Flag_of_Gelderland.svg.png
WYR,"Hradec Králové","Czech Republic",https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Flag_of_Hradec_Kralove.svg/1024px-Flag_of_Hradec_Kralove.svg.png
WYG,"Guayanilla","Puerto Rico",https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Flag_of_Guayanilla.svg/1024px-Flag_of_Guayanilla.svg.png
WYB,"Dodewaard","Netherlands",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c9/Dodewaard_vlag.svg/1024px-Dodewaard_vlag.svg.png
WYW,"Tovarnik* (1993-2001)","Croatia",https://fotw.info/images/h/hr-vu-tv93.gif
WYK,"Perak","Malaysia",https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Flag_of_Perak.svg/1024px-Flag_of_Perak.svg.png
KYR,"Krásné Pole (reverse)","Czech Republic",https://fotw.info/images/c/cz-ov_kp.gif
KYG,"Bushmanland (1989)","South West Africa",https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Flag_of_Bushmanland.svg/1024px-Flag_of_Bushmanland.svg.png
KYB,"Komprachcice","Poland",https://fotw.info/images/p/pl-op-ko.gif
KYW,"Russian Empire (1858-83)",,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Flag_of_the_Russian_Empire_%28black-yellow-white%29.svg/1024px-Flag_of_the_Russian_Empire_%28black-yellow-white%29.svg.png
KYK,"Amberg","Germany",https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Flag_of_Amberg.svg/1024px-Flag_of_Amberg.svg.png
