country,date,description,image,alt_flag
Slovakia,1939,Andrej Hlinka,https://swmedia-4cd6.kxcdn.com/media/catalogue/Slovakia/Postage-stamps/E1-s.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2a/Flag_of_Slovakia_%281939%E2%80%931945%29.svg/640px-Flag_of_Slovakia_%281939%E2%80%931945%29.svg.png
Faroe Islands,1975,map,http://2.bp.blogspot.com/-KHc1DR5sfSY/Vo-aZPsbNsI/AAAAAAAABMQ/17W2eNby_xs/s1600/IMG_0001%2B-%2BCopy%2B%25282%2529.jpg
Moldova,1991,symbols of state,https://swmedia-4cd6.kxcdn.com/media/catalogue/Moldova/Postage-stamps/A-s.jpg
Belarus,1992,Cross of Ephrosinia of Polotsk,https://upload.wikimedia.org/wikipedia/commons/b/be/Stemp_Efrasinia_Polackaja.jpg
Kazakhstan,1992,golden warrior,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Stamp_Kazakhstan_1992_50k.jpg/220px-Stamp_Kazakhstan_1992_50k.jpg
Macedonia,1992,wood carver art,https://swmedia-4cd6.kxcdn.com/media/catalogue/Macedonia/Postage-stamps/A-s.jpg
Kosovo,2000,statue of Mother Teresa,https://i.colnect.net/f/5633/554/Statue-of-Mother-Theresa.jpg
,"* the first Swiss, German, Italian and Greek issues were preceded by:",,
Zurich,1843,numeral,http://tinyimg.io/i/fCPr66D.jpg
Bavaria,1849,numeral,https://upload.wikimedia.org/wikipedia/commons/e/e0/First_Bavaria_postage_stamp_1k_1849_issue.jpg
Sardinia,1851,King Victor Emmanuel II,https://i.pinimg.com/originals/76/87/25/768725ccc68ca252964654560f3c4ce0.jpg
Ionian Islands,1859,Queen Victoria,https://swmedia-4cd6.kxcdn.com/media/catalogue/Ionian-Islands/Postage-stamps/A1-s.jpg
